import time: self [us] | cumulative | imported package
import time:       839 |       1791 |             asyncio.sslproto
import time:       393 |        393 |                 asyncio.mixins
import time:       607 |        607 |                 asyncio.tasks
import time:       765 |       1764 |               asyncio.locks
import time:       696 |       2460 |             asyncio.staggered
import time:       476 |        476 |             asyncio.trsock
import time:      1135 |      18892 |           asyncio.base_events
import time:       533 |        533 |           asyncio.runners
import time:       631 |        631 |           asyncio.queues
import time:       605 |        605 |           asyncio.streams
import time:       691 |        691 |           asyncio.subprocess
import time:       451 |        451 |           asyncio.taskgroups
import time:       584 |        584 |           asyncio.timeouts
import time:       484 |        484 |           asyncio.threads
import time:      1174 |       1174 |             _overlapped
import time:       553 |        553 |             asyncio.base_subprocess
import time:       729 |        729 |             asyncio.proactor_events
import time:       765 |        765 |             asyncio.selector_events
import time:       493 |        493 |             asyncio.windows_utils
import time:       827 |       4538 |           asyncio.windows_events
import time:       830 |      28235 |         asyncio
import time:        13 |      28248 |       asyncio.coroutines
import time:      1619 |      35483 |     torch.cuda.memory
import time:       899 |        899 |     torch.cuda.random
import time:      1566 |       1566 |       torch.cuda.amp.autocast_mode
import time:       508 |        508 |       torch.cuda.amp.common
import time:       840 |        840 |       torch.cuda.amp.grad_scaler
import time:       599 |       3511 |     torch.cuda.amp
import time:       774 |        774 |     torch.cuda.jiterator
import time:       618 |        618 |     torch.cuda.nvtx
import time:       938 |        938 |     torch.cuda.profiler
import time:       428 |        428 |     torch.cuda.sparse
import time:       930 |        930 |     torch.cuda.tunable
import time:     25105 |      73741 |   torch.cuda
import time:      2193 |       2193 |       torch.sparse._semi_structured_conversions
import time:      1069 |       1069 |       torch.sparse._semi_structured_ops
import time:      1863 |       5124 |     torch.sparse.semi_structured
import time:      1517 |       6640 |   torch.sparse
import time:      2109 |       2109 |   torch._compile
import time:       874 |        874 |   torch._VF
import time:      3800 |       3800 |         torch.nn.parameter
import time:      2798 |       2798 |             torch._prims_common
import time:      2683 |       2683 |                 torch.utils.backcompat
import time:      8799 |       8799 |                 torch.utils.collect_env
import time:       835 |        835 |                         multiprocessing.process
import time:       684 |        684 |                         multiprocessing.reduction
import time:      1341 |       2859 |                       multiprocessing.context
import time:      1309 |       4168 |                     multiprocessing
import time:       806 |        806 |                       _queue
import time:       782 |       1587 |                     queue
import time:       549 |        549 |                         cmd
import time:       660 |        660 |                         bdb
import time:       615 |        615 |                           codeop
import time:       598 |       1212 |                         code
import time:       754 |        754 |                         pprint
import time:      1047 |       4221 |                       pdb
import time:       659 |        659 |                         torch.utils._typing_utils
import time:      1464 |       1464 |                             _hashlib
import time:        46 |         46 |                             _blake2
import time:       756 |       2264 |                           hashlib
import time:       524 |        524 |                             torch.distributed.logging_handlers
import time:      1014 |       1537 |                           torch.distributed.c10d_logger
import time:       669 |        669 |                           torch.distributed.constants
import time:       573 |        573 |                               urllib
import time:      1335 |       1335 |                               ipaddress
import time:      1174 |       3082 |                             urllib.parse
import time:       930 |       4011 |                           torch.distributed.rendezvous
import time:      2879 |      11359 |                         torch.distributed.distributed_c10d
import time:      2067 |      14084 |                       torch.distributed.device_mesh
import time:       855 |        855 |                       torch.distributed.remote_device
import time:     12485 |      31644 |                     torch.distributed
import time:      1276 |       1276 |                                     torch.utils.data.datapipes._hook_iterator
import time:      1399 |       2674 |                                   torch.utils.data.datapipes._typing
import time:      2451 |       2451 |                                     torch.utils._import_utils
import time:       669 |        669 |                                       torch.utils.data.datapipes.utils
import time:      3804 |       4472 |                                     torch.utils.data.datapipes.utils.common
import time:      1660 |       1660 |                                     torch.utils.data.dataset
import time:      1107 |       1107 |                                       dill.__info__
import time:      1376 |       1376 |                                         dill.logger
import time:      2707 |       2707 |                                         _pyio
import time:      2231 |       2231 |                                         dill._shims
import time:       509 |        509 |                                         dill.settings
import time:      8435 |      15255 |                                       dill._dill
import time:       996 |        996 |                                         pathlib
import time:      1902 |       2898 |                                       dill.session
import time:      1003 |       1003 |                                         dill.pointers
import time:      1161 |       2164 |                                       dill.detect
import time:      1394 |       1394 |                                       dill.source
import time:       922 |        922 |                                       dill.temp
import time:       850 |        850 |                                       dill.objtypes
import time:      2634 |      27221 |                                     dill
import time:      1746 |      37548 |                                   torch.utils.data.datapipes.datapipe
import time:      4793 |      45015 |                                 torch.utils.data.datapipes._decorator
import time:       901 |        901 |                                   torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:      1041 |       1941 |                                 torch.utils.data.datapipes.dataframe.structures
import time:      1786 |      48741 |                               torch.utils.data.datapipes.dataframe.dataframes
import time:      1797 |       1797 |                               torch.utils.data.datapipes.dataframe.datapipes
import time:       725 |      51261 |                             torch.utils.data.datapipes.dataframe
import time:      1469 |       1469 |                                     torch.utils.data._utils.collate
import time:       750 |        750 |                                     torch.utils.data._utils.fetch
import time:       781 |        781 |                                     torch.utils.data._utils.pin_memory
import time:       644 |        644 |                                     torch.utils.data._utils.signal_handling
import time:      7327 |       7327 |                                       ctypes.wintypes
import time:      1599 |       8926 |                                     torch.utils.data._utils.worker
import time:      1036 |      13604 |                                   torch.utils.data._utils
import time:        20 |      13623 |                                 torch.utils.data._utils.collate
import time:      1415 |      15038 |                               torch.utils.data.datapipes.iter.callable
import time:      1540 |       1540 |                                 torch.utils.data.sampler
import time:      1578 |       3118 |                               torch.utils.data.datapipes.iter.combinatorics
import time:      2602 |       2602 |                               torch.utils.data.datapipes.iter.combining
import time:      1158 |       1158 |                                 torch.utils.data.datapipes.iter.utils
import time:      1005 |       2162 |                               torch.utils.data.datapipes.iter.filelister
import time:      1153 |       1153 |                               torch.utils.data.datapipes.iter.fileopener
import time:       645 |        645 |                                 torch.utils.data.datapipes.iter.sharding
import time:      1148 |       1793 |                               torch.utils.data.datapipes.iter.grouping
import time:      1031 |       1031 |                                 torch.utils.data.datapipes.utils.decoder
import time:       818 |       1849 |                               torch.utils.data.datapipes.iter.routeddecoder
import time:       974 |        974 |                               torch.utils.data.datapipes.iter.selecting
import time:       724 |        724 |                               torch.utils.data.datapipes.iter.streamreader
import time:      1077 |      30487 |                             torch.utils.data.datapipes.iter
import time:       886 |        886 |                               torch.utils.data.datapipes.map.callable
import time:       906 |        906 |                               torch.utils.data.datapipes.map.combinatorics
import time:       922 |        922 |                               torch.utils.data.datapipes.map.combining
import time:       712 |        712 |                               torch.utils.data.datapipes.map.grouping
import time:       637 |        637 |                               torch.utils.data.datapipes.map.utils
import time:       770 |       4831 |                             torch.utils.data.datapipes.map
import time:       650 |      87227 |                           torch.utils.data.datapipes
import time:        11 |      87238 |                         torch.utils.data.datapipes.iter
import time:        19 |      87256 |                       torch.utils.data.datapipes.iter.sharding
import time:       689 |        689 |                       torch.utils.data.graph
import time:       972 |      88916 |                     torch.utils.data.graph_settings
import time:     14838 |     141151 |                   torch.utils.data.dataloader
import time:       765 |        765 |                   torch.utils.data.distributed
import time:      2779 |     144695 |                 torch.utils.data
import time:       592 |        592 |                 torch.utils.deterministic
import time:       667 |        667 |                 torch.utils.hooks
import time:       969 |        969 |                 torch.utils.backend_registration
import time:       584 |        584 |                 torch.utils.cpp_backtrace
import time:       894 |        894 |                 torch.utils.throughput_benchmark
import time:      1520 |     161399 |               torch.utils
import time:       780 |        780 |               torchgen
import time:       764 |        764 |                   torchgen.code_template
import time:      1151 |       1915 |                 torchgen.utils
import time:     12117 |      14031 |               torchgen.model
import time:      2184 |     178393 |             torch.utils._python_dispatch
import time:     20449 |     201640 |           torch.nn.modules.module
import time:       872 |        872 |                 torch.distributed.rpc
import time:      1642 |       1642 |                             pickletools
import time:       829 |        829 |                             torch.package._digraph
import time:       599 |        599 |                             torch.package._importlib
import time:       635 |        635 |                             torch.package._mangling
import time:       870 |        870 |                               torch.package.importer
import time:       645 |       1515 |                             torch.package._package_pickler
import time:       695 |        695 |                             torch.package._stdlib
import time:       703 |        703 |                             torch.package.find_file_dependencies
import time:       690 |        690 |                             torch.package.glob_group
import time:      1685 |       8989 |                           torch.package.package_exporter
import time:       780 |       9769 |                         torch.package.analyze.find_first_use_of_broken_modules
import time:       971 |        971 |                         torch.package.analyze.trace_dependencies
import time:       718 |      11457 |                       torch.package.analyze
import time:       842 |      12298 |                     torch.package.analyze.is_from_package
import time:       983 |        983 |                     torch.package.file_structure_representation
import time:       992 |        992 |                       torch.package._directory_reader
import time:       790 |        790 |                       torch.package._package_unpickler
import time:      2321 |       4102 |                     torch.package.package_importer
import time:       745 |      18128 |                   torch.package
import time:        42 |      18169 |                 torch.package._mangling
import time:      1131 |       1131 |                 torch._awaits
import time:      1291 |       1291 |                 torch.futures
import time:      1183 |      22645 |               torch._jit_internal
import time:      2666 |       2666 |               torch._torch_docs
import time:       647 |        647 |               torch.nn._reduction
import time:       639 |        639 |                 torch.nn.modules.utils
import time:       756 |       1395 |               torch.nn.grad
import time:     24578 |      51929 |             torch.nn.functional
import time:      1204 |       1204 |             torch.nn.init
import time:       852 |        852 |             torch.nn.modules.lazy
import time:       999 |      54983 |           torch.nn.modules.linear
import time:      2225 |       2225 |           torch.nn.modules.activation
import time:      1488 |       1488 |             torch.nn.modules.container
import time:       723 |       2210 |           torch.nn.modules.adaptive
import time:      5338 |       5338 |                     torch.utils._pytree
import time:      1297 |       6635 |                   torch._vmap_internals
import time:       842 |        842 |                       torch.utils._contextlib
import time:      1005 |       1846 |                     torch.autograd.grad_mode
import time:      1164 |       3010 |                   torch.autograd.forward_ad
import time:      2509 |       2509 |                   torch.autograd.functional
import time:       627 |        627 |                     torch.autograd.variable
import time:      1656 |       2282 |                   torch.autograd.graph
import time:       662 |        662 |                   torch.autograd.anomaly_mode
import time:       672 |        672 |                     torch._functorch
import time:       528 |        528 |                           torch.utils._exposed_in
import time:      2065 |       2593 |                         torch._functorch.utils
import time:      1182 |       1182 |                         torch._functorch.vmap
import time:      1188 |       4963 |                       torch._functorch.apis
import time:      1353 |       1353 |                         torch._functorch.pyfunctorch
import time:      1700 |       3052 |                       torch._ops
import time:      2435 |      10449 |                     torch._functorch.autograd_function
import time:      1118 |      12238 |                   torch.autograd.function
import time:       888 |        888 |                       torch.testing._utils
import time:        55 |         55 |                         cmath
import time:      1710 |       1765 |                       torch.testing._comparison
import time:      3893 |       3893 |                       torch.testing._creation
import time:       844 |       7388 |                     torch.testing
import time:      3748 |      11136 |                   torch.autograd.gradcheck
import time:      2280 |       2280 |                     torch.autograd.profiler_util
import time:      1858 |       4138 |                   torch.autograd.profiler
import time:      5168 |      47774 |                 torch.autograd
import time:        22 |      47796 |               torch.autograd.function
import time:       802 |      48598 |             torch.nn.modules._functions
import time:      1128 |      49725 |           torch.nn.modules.batchnorm
import time:       742 |        742 |           torch.nn.modules.channelshuffle
import time:      1227 |       1227 |             torch.nn.common_types
import time:      1666 |       2892 |           torch.nn.modules.conv
import time:       843 |        843 |           torch.nn.modules.distance
import time:       935 |        935 |           torch.nn.modules.dropout
import time:       873 |        873 |           torch.nn.modules.flatten
import time:       906 |        906 |           torch.nn.modules.fold
import time:       637 |        637 |           torch.nn.modules.instancenorm
import time:      2585 |       2585 |           torch.nn.modules.loss
import time:       975 |        975 |           torch.nn.modules.normalization
import time:      1018 |       1018 |           torch.nn.modules.padding
import time:       576 |        576 |           torch.nn.modules.pixelshuffle
import time:      3102 |       3102 |           torch.nn.modules.pooling
import time:       680 |        680 |                     torch.__future__
import time:      1137 |       1817 |                   torch.nn.utils.parametrize
import time:      1176 |       2992 |                 torch.nn.utils.parametrizations
import time:      1501 |       1501 |                 torch.nn.utils.rnn
import time:      1183 |       1183 |                   torch.nn.utils._named_member_accessor
import time:      1165 |       2347 |                 torch.nn.utils.stateless
import time:       769 |        769 |                   torch.utils._foreach_utils
import time:       610 |       1378 |                 torch.nn.utils.clip_grad
import time:       540 |        540 |                 torch.nn.utils.convert_parameters
import time:       567 |        567 |                 torch.nn.utils.fusion
import time:       462 |        462 |                 torch.nn.utils.init
import time:       448 |        448 |                 torch.nn.utils.memory_format
import time:       922 |        922 |                 torch.nn.utils.spectral_norm
import time:       844 |        844 |                 torch.nn.utils.weight_norm
import time:      1015 |      13012 |               torch.nn.utils
import time:        24 |      13036 |             torch.nn.utils.rnn
import time:     16366 |      29401 |           torch.nn.modules.rnn
import time:      1512 |       1512 |           torch.nn.modules.sparse
import time:      1672 |       1672 |           torch.nn.modules.transformer
import time:       696 |        696 |           torch.nn.modules.upsampling
import time:      2553 |     362693 |         torch.nn.modules
import time:       734 |        734 |               torch.backends.cpu
import time:      1562 |       1562 |               torch.backends.cuda
import time:       719 |        719 |               torch.backends.cudnn
import time:       750 |        750 |               torch.backends.cusparselt
import time:       641 |        641 |               torch.backends.mha
import time:       617 |        617 |               torch.backends.mkl
import time:       683 |        683 |               torch.backends.mkldnn
import time:      1122 |       1122 |                       torch._library.utils
import time:      1378 |       2500 |                     torch._library.autograd
import time:       943 |        943 |                     torch._library.fake_impl
import time:       863 |        863 |                     torch._library.simple_registry
import time:      1321 |       1321 |                     torch._library.fake_class_registry
import time:      1421 |       1421 |                       torch._library.custom_ops
import time:      1085 |       1085 |                       torch._library.infer_schema
import time:       919 |       3424 |                     torch._library.triton
import time:       747 |       9796 |                   torch._library
import time:      1776 |      11572 |                 torch.library
import time:       614 |      12186 |               torch.backends.mps
import time:       849 |        849 |               torch.backends.nnpack
import time:       576 |        576 |               torch.backends.openmp
import time:       921 |        921 |               torch.backends.quantized
import time:      1100 |      21333 |             torch.backends
import time:        20 |      21352 |           torch.backends.cuda
import time:      1012 |      22363 |         torch.nn.attention
import time:      1065 |       1065 |             torch.nn.parallel.parallel_apply
import time:       858 |        858 |                 torch.cuda.nccl
import time:       857 |       1715 |               torch.nn.parallel.comm
import time:       886 |       2600 |             torch.nn.parallel.replicate
import time:      1067 |       1067 |               torch.nn.parallel._functions
import time:       877 |       1943 |             torch.nn.parallel.scatter_gather
import time:      1371 |       6978 |           torch.nn.parallel.data_parallel
import time:      1436 |       1436 |                 torch.distributed.algorithms.join
import time:       811 |       2247 |               torch.distributed.algorithms
import time:        30 |       2277 |             torch.distributed.algorithms.join
import time:      1627 |       1627 |             torch.distributed.utils
import time:      2697 |       6600 |           torch.nn.parallel.distributed
import time:       960 |      14537 |         torch.nn.parallel
import time:      2478 |     405869 |       torch.nn
import time:        20 |     405888 |     torch.nn.functional
import time:       635 |        635 |       torch._linalg_utils
import time:       813 |       1448 |     torch._lowrank
import time:     16641 |     423976 |   torch.functional
import time:       817 |        817 |   torch.__config__
import time:       910 |        910 |       torch.cpu.amp.autocast_mode
import time:       691 |        691 |       torch.cpu.amp.grad_scaler
import time:       804 |       2404 |     torch.cpu.amp
import time:      1051 |       3455 |   torch.cpu
import time:      2236 |       2236 |       torch.distributions.constraints
import time:       994 |        994 |       torch.distributions.utils
import time:      2297 |       5526 |     torch.distributions.transforms
import time:      1010 |       1010 |         torch.distributions.distribution
import time:       757 |       1767 |       torch.distributions.exp_family
import time:       894 |       2660 |     torch.distributions.bernoulli
import time:      1109 |       1109 |       torch.distributions.dirichlet
import time:       729 |       1837 |     torch.distributions.beta
import time:       952 |        952 |     torch.distributions.binomial
import time:       956 |        956 |     torch.distributions.categorical
import time:       821 |        821 |     torch.distributions.cauchy
import time:       864 |        864 |       torch.distributions.gamma
import time:       727 |       1590 |     torch.distributions.chi2
import time:       952 |        952 |     torch.distributions.constraint_registry
import time:      1058 |       1058 |     torch.distributions.continuous_bernoulli
import time:       775 |        775 |     torch.distributions.exponential
import time:       998 |        998 |     torch.distributions.fishersnedecor
import time:       938 |        938 |     torch.distributions.geometric
import time:       776 |        776 |         torch.distributions.independent
import time:       893 |       1668 |       torch.distributions.transformed_distribution
